,item,seen,picked,pick_rate
0,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, {""type"": ""Discard"", ""target"": ""self"", ""value"": 3}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",63,41,0.6507936507936508
1,"{""effects"": [null, {""type"": ""Free"", ""target"": null, ""value"": null}, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",33,3,0.09090909090909091
2,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, null, {""type"": ""Damage"", ""target"": ""self"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",59,47,0.7966101694915254
3,"{""effects"": [null, {""type"": ""Absorb"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",64,4,0.0625
4,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}, {""type"": ""Ignite"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",5,2,0.4
5,"{""effects"": [null, {""type"": ""Reflect"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",10,5,0.5
6,"{""effects"": [null, {""type"": ""DoubleBlock"", ""target"": ""self"", ""value"": null}, {""type"": ""Cycle"", ""target"": ""self"", ""value"": null}], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",2,0,0.0
7,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",14,9,0.6428571428571429
8,"{""effects"": [null, null, {""type"": ""GainMoney"", ""target"": ""self"", ""value"": 10}], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",20,2,0.1
9,"{""effects"": [null, {""type"": ""Phoenix"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",46,1,0.021739130434782608
10,"{""effects"": [null, {""type"": ""Chain"", ""target"": ""self"", ""value"": null}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",49,33,0.673469387755102
11,"{""effects"": [{""type"": ""GainMushroom"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",32,17,0.53125
12,"{""effects"": [null, {""type"": ""PreventNextDamage"", ""target"": ""self"", ""value"": null}, {""type"": ""Power"", ""target"": ""opponent"", ""value"": null}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",20,13,0.65
13,"{""effects"": [{""type"": ""Block"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",33,7,0.21212121212121213
14,"{""effects"": [{""type"": ""Heal"", ""target"": ""self"", ""value"": 3}, null, {""type"": ""Heal"", ""target"": ""opponent"", ""value"": 2}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",30,14,0.4666666666666667
15,"{""effects"": [null, {""type"": ""Rightmost"", ""target"": ""self"", ""value"": 2}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",59,40,0.6779661016949152
16,"{""effects"": [null, {""type"": ""MultiplyNextAttack"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",63,18,0.2857142857142857
17,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 0}, {""type"": ""Ferment"", ""target"": null, ""value"": null}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",30,11,0.36666666666666664
18,"{""effects"": [{""type"": ""Mold"", ""target"": ""opponent"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",33,6,0.18181818181818182
19,"{""effects"": [{""type"": ""PlayNextTwice"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",2,0,0.0
20,"{""effects"": [null, {""type"": ""MissingHpBonus"", ""target"": ""self"", ""value"": 1}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",2,2,1.0
21,"{""effects"": [{""type"": ""Cleanse"", ""target"": ""self"", ""value"": 1}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",28,4,0.14285714285714285
22,"{""effects"": [null, {""type"": ""GiveHeavyRecoil"", ""target"": ""opponent"", ""value"": 2}, {""type"": ""Power"", ""target"": ""opponent"", ""value"": null}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",11,0,0.0
23,"{""effects"": [null, {""type"": ""Leech"", ""target"": ""opponent"", ""value"": 2}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",29,19,0.6551724137931034
24,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}, {""type"": ""MissingHpBonus"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",43,36,0.8372093023255814
25,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",24,6,0.25
26,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",61,20,0.32786885245901637
27,"{""effects"": [{""type"": ""Purge"", ""target"": ""opponent"", ""value"": 1}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",34,1,0.029411764705882353
28,"{""effects"": [{""type"": ""Blaze"", ""target"": ""self"", ""value"": 1}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",66,14,0.21212121212121213
29,"{""effects"": [null, null, {""type"": ""Explode"", ""target"": ""opponent"", ""value"": 3}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",60,0,0.0
