,item,seen,picked,pick_rate
0,GoFish,25,4,0.16
1,Monocle,17,9,0.5294117647058824
2,FalseMustache,18,4,0.2222222222222222
3,CoolSword,15,14,0.9333333333333333
4,Bacon,20,2,0.1
5,PerishPendant,21,2,0.09523809523809523
6,Turtle,21,6,0.2857142857142857
7,PhoenixFeather,21,21,1.0
8,TBone,20,18,0.9
9,Microphone,11,4,0.36363636363636365
10,Wood,5,4,0.8
11,HandMirror,19,16,0.8421052631578947
12,Horns,21,20,0.9523809523809523
13,Multivitamin,16,8,0.5
14,FireShield,24,11,0.4583333333333333
15,StackingStone,18,9,0.5
16,PackageDealer,12,6,0.5
17,FusionJuice,20,3,0.15
18,Tape,13,4,0.3076923076923077
19,TreasureScale,12,4,0.3333333333333333
20,Icicles,9,6,0.6666666666666666
21,PowerStone,16,16,1.0
22,LongHair,6,4,0.6666666666666666
23,BattleFormation,11,9,0.8181818181818182
24,Watermelon,20,12,0.6
25,CNote,12,11,0.9166666666666666
26,Flameheart,16,6,0.375
27,Coconut,15,1,0.06666666666666667
28,Kicks,2,2,1.0
29,Masks,1,1,1.0
30,Shades,1,1,1.0
31,HugeClouds,18,2,0.1111111111111111
32,OvenMits,5,0,0.0
33,InfernoCloak,1,1,1.0
