,item,seen,picked,pick_rate
0,Multivitamin,18,9,0.5
1,TBone,15,14,0.9333333333333333
2,FireShield,26,14,0.5384615384615384
3,HandMirror,16,14,0.875
4,Flameheart,20,12,0.6
5,StackingStone,19,16,0.8421052631578947
6,Turtle,24,10,0.4166666666666667
7,Monocle,18,11,0.6111111111111112
8,GoFish,25,2,0.08
9,Tape,19,8,0.42105263157894735
10,CNote,20,16,0.8
11,FusionJuice,23,1,0.043478260869565216
12,Bacon,17,5,0.29411764705882354
13,HugeClouds,28,4,0.14285714285714285
14,TreasureScale,16,5,0.3125
15,PackageDealer,17,9,0.5294117647058824
16,Shades,4,2,0.5
17,FalseMustache,22,9,0.4090909090909091
18,OvenMits,5,4,0.8
19,Watermelon,14,11,0.7857142857142857
20,Coconut,20,1,0.05
21,PowerStone,15,12,0.8
22,Kicks,2,1,0.5
23,Microphone,22,12,0.5454545454545454
24,BattleFormation,13,6,0.46153846153846156
25,Horns,15,11,0.7333333333333333
26,Wood,5,3,0.6
27,PerishPendant,15,1,0.06666666666666667
28,Paint,1,0,0.0
29,Goldstrike,2,1,0.5
30,CoolSword,23,21,0.9130434782608695
31,Icicles,22,8,0.36363636363636365
32,PhoenixFeather,22,19,0.8636363636363636
33,Adrenaline,2,0,0.0
34,LongHair,3,2,0.6666666666666666
35,Masks,1,0,0.0
36,Guitar,1,1,1.0
