,item,seen,picked,pick_rate
0,Flameheart,15,8,0.5333333333333333
1,Microphone,15,6,0.4
2,FalseMustache,14,1,0.07142857142857142
3,CoolSword,17,15,0.8823529411764706
4,PhoenixFeather,22,18,0.8181818181818182
5,Bacon,25,6,0.24
6,TBone,17,17,1.0
7,HugeClouds,20,6,0.3
8,Horns,17,15,0.8823529411764706
9,Shades,6,3,0.5
10,PackageDealer,18,10,0.5555555555555556
11,StackingStone,15,14,0.9333333333333333
12,Watermelon,22,16,0.7272727272727273
13,GoFish,23,1,0.043478260869565216
14,BattleFormation,16,12,0.75
15,Multivitamin,17,7,0.4117647058823529
16,FusionJuice,20,0,0.0
17,Wood,3,3,1.0
18,Coconut,17,0,0.0
19,HandMirror,12,10,0.8333333333333334
20,Monocle,18,7,0.3888888888888889
21,Adrenaline,2,0,0.0
22,PowerStone,7,7,1.0
23,Broc,1,1,1.0
24,Kicks,4,4,1.0
25,Turtle,14,5,0.35714285714285715
26,PerishPendant,19,1,0.05263157894736842
27,CNote,16,10,0.625
28,Guitar,1,1,1.0
29,Icicles,18,13,0.7222222222222222
30,Tape,11,2,0.18181818181818182
31,TreasureScale,13,4,0.3076923076923077
32,FireShield,15,10,0.6666666666666666
33,OvenMits,4,2,0.5
34,LongHair,4,3,0.75
35,Stew,2,2,1.0
