,item,seen,picked,pick_rate
0,"{""effects"": [{""type"": ""Heal"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",43,17,0.3953488372093023
1,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, null, {""type"": ""Damage"", ""target"": ""self"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",57,37,0.6491228070175439
2,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",67,13,0.19402985074626866
3,"{""effects"": [{""type"": ""Blaze"", ""target"": ""self"", ""value"": 1}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",61,12,0.19672131147540983
4,"{""effects"": [null, {""type"": ""MultiplyNextAttack"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",51,12,0.23529411764705882
5,"{""effects"": [null, {""type"": ""Rightmost"", ""target"": ""self"", ""value"": 2}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",61,38,0.6229508196721312
6,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, {""type"": ""Discard"", ""target"": ""self"", ""value"": 3}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",68,54,0.7941176470588235
7,"{""effects"": [null, null, {""type"": ""Explode"", ""target"": ""opponent"", ""value"": 3}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",68,1,0.014705882352941176
8,"{""effects"": [null, {""type"": ""Absorb"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",62,3,0.04838709677419355
9,"{""effects"": [{""type"": ""Mold"", ""target"": ""opponent"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",29,3,0.10344827586206896
10,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",28,10,0.35714285714285715
11,"{""effects"": [null, {""type"": ""Grow"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",34,0,0.0
12,"{""effects"": [{""type"": ""Block"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",26,2,0.07692307692307693
